REGION,CEREAL PRODUCTION,NON-CEREAL PRODUCTION,TOTAL PRODUCTION
Arusha,334326,517968,852294
Dar-Es-Salaam,1837,50119,51956
Dodoma,444451,601215,1045666
Iringa,265974,460831,726805
Kagera,172524,1066980,1239504
Kaskazini-Pemba,-,-,-
Kaskazini-Unguja,-,-,-
Kigoma,463168,1134118,1597286
Kilimanjaro,193880,461605,655485
Kusini-Pemba,,,
Lindi,152940,275386,428326
Manyara,396032,563568,959600
Mara,284814,527545,812359
Mbeya,692654,1111373,1804027
Morogoro,632575,877691,1510266
Mtwara,71815,430737,502552
Mwanza,191619,827254,1018873
Pwani,93487,361247,454734
Rukwa,486079,854469,1340548
Ruvuma,780337,1132519,1912856
Shinyanga,211800,434911,646711
Singida,394674,475968,870642
Tabora,498122,723108,1221230
Tanga,424532,695153,1119685
Zanzibar South and Central,-,-,-
Zanzibar West,-,-,-
